ticker,contribution
FTNT,0.00868221999283006
ELV,0.004176855157191874
UNH,0.0040090377238499505
MNST,0.003296191323811087
AVGO,0.0027024391172139326
MDLZ,0.0023098169537810187
NXPI,0.0019962061624355086
JCI,0.0018389217979711769
ALL,0.0018045501776990684
ABNB,0.0014701221502801069
WELL,0.0009889326839407704
TRV,0.0007282062939932885
LLY,0.0005489803584327597
AMZN,0.00020791445362784903
NSC,0.00013305689919236788
UNP,0.00011633531873674483
HOOD,6.447384960030905e-05
TXN,3.3844578417252907e-05
GEV,-0.00014680205230920164
PNC,-0.00028048962250867317
HON,-0.00038874842224721014
FCX,-0.00043299167231116987
QCOM,-0.0005312069874162035
PLD,-0.0005480272253114435
SPG,-0.0008959240024674537
ABBV,-0.0009347066598055431
CVS,-0.0012066897774966388
EOG,-0.0012155125811381254
WBD,-0.001322342538007156
AMAT,-0.0013499377824861094
F,-0.001520678331566065
GM,-0.00164996373244544
C,-0.0020111160943382957
GE,-0.002094224439833045
PANW,-0.002205637112764339
WDC,-0.0027117776777778706
MS,-0.002759597990567925
CAT,-0.0028916742157341015
VRTX,-0.003231950545428526
VZ,-0.004302990467244339
MAR,-0.00520111402348617
STX,-0.007039909476768679
KLAC,-0.007521390807418884
